╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=100.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.450107e-03 |  1.0000 |       0 |     0.0006 |  2.00e-05
      2 | -7.451975e-03 |  1.0000 |       0 |     0.0008 |  4.00e-05
      3 | -7.454084e-03 |  1.0000 |       0 |     0.0013 |  6.00e-05
      4 | -7.454965e-03 |  1.0000 |       0 |     0.0020 |  8.00e-05
      5 | -7.453981e-03 |  1.0000 |       0 |     0.0029 |  1.00e-04
     25 | -7.464864e-03 |  0.9996 |       0 |     0.0315 |  5.00e-04
     50 | -7.481528e-03 |  0.9984 |       0 |     0.1352 |  1.00e-03
     75 | -7.498791e-03 |  0.9982 |       0 |     0.2348 |  1.00e-03
    100 | -7.512230e-03 |  0.9984 |       0 |     0.3205 |  9.98e-04
    125 | -7.528465e-03 |  0.9982 |       0 |     0.3906 |  9.97e-04
    150 | -7.532068e-03 |  0.9984 |       0 |     0.4185 |  9.94e-04
    175 | -7.533708e-03 |  0.9983 |       0 |     0.4724 |  9.90e-04
    200 | -7.534848e-03 |  0.9982 |       0 |     0.5160 |  9.86e-04
    225 | -7.539549e-03 |  0.9981 |       0 |     0.5239 |  9.81e-04
    250 | -7.539210e-03 |  0.9981 |       0 |     0.5403 |  9.76e-04
    275 | -7.535400e-03 |  0.9980 |       0 |     0.5573 |  9.69e-04
    300 | -7.540928e-03 |  0.9980 |       0 |     0.5568 |  9.62e-04
    325 | -7.541602e-03 |  0.9980 |       0 |     0.5688 |  9.55e-04
    350 | -7.540040e-03 |  0.9980 |       0 |     0.5558 |  9.46e-04
    375 | -7.542563e-03 |  0.9980 |       0 |     0.5735 |  9.37e-04
    400 | -7.541634e-03 |  0.9980 |       0 |     0.5724 |  9.27e-04
    425 | -7.544628e-03 |  0.9981 |       0 |     0.5629 |  9.17e-04
    450 | -7.543519e-03 |  0.9980 |       0 |     0.5771 |  9.05e-04
    475 | -7.544161e-03 |  0.9980 |       0 |     0.5743 |  8.94e-04
    500 | -7.544617e-03 |  0.9981 |       0 |     0.5813 |  8.81e-04
    525 | -7.542397e-03 |  0.9980 |       0 |     0.5557 |  8.68e-04
    550 | -7.544744e-03 |  0.9980 |       0 |     0.5798 |  8.55e-04
    575 | -7.544881e-03 |  0.9980 |       0 |     0.5828 |  8.41e-04
    600 | -7.544980e-03 |  0.9980 |       0 |     0.5843 |  8.26e-04
    625 | -7.544409e-03 |  0.9981 |       0 |     0.5849 |  8.11e-04
    650 | -7.544566e-03 |  0.9981 |       0 |     0.5853 |  7.96e-04
    675 | -7.539489e-03 |  0.9983 |       0 |     0.5383 |  7.80e-04
    700 | -7.544450e-03 |  0.9981 |       0 |     0.5803 |  7.64e-04
    725 | -7.544058e-03 |  0.9981 |       0 |     0.5842 |  7.47e-04
    750 | -7.544841e-03 |  0.9981 |       0 |     0.5861 |  7.30e-04
    775 | -7.544676e-03 |  0.9980 |       0 |     0.5868 |  7.12e-04
    800 | -7.544439e-03 |  0.9980 |       0 |     0.5872 |  6.94e-04
    825 | -7.545256e-03 |  0.9980 |       0 |     0.5875 |  6.76e-04
    850 | -7.545335e-03 |  0.9980 |       0 |     0.5877 |  6.58e-04
    875 | -7.545381e-03 |  0.9980 |       0 |     0.5879 |  6.39e-04
    900 | -7.545017e-03 |  0.9980 |       0 |     0.5881 |  6.21e-04
    925 | -7.545345e-03 |  0.9980 |       0 |     0.5883 |  6.02e-04
    950 | -7.545028e-03 |  0.9980 |       0 |     0.5885 |  5.82e-04
    975 | -7.545170e-03 |  0.9980 |       0 |     0.5887 |  5.63e-04
   1000 | -7.544972e-03 |  0.9980 |       0 |     0.5888 |  5.44e-04
   1025 | -7.545103e-03 |  0.9980 |       0 |     0.5890 |  5.24e-04
   1050 | -7.545474e-03 |  0.9980 |       0 |     0.5891 |  5.05e-04
   1075 | -7.545854e-03 |  0.9980 |       0 |     0.5893 |  4.86e-04
   1100 | -7.544937e-03 |  0.9980 |       0 |     0.5894 |  4.66e-04
   1125 | -7.544956e-03 |  0.9980 |       0 |     0.5895 |  4.47e-04
   1150 | -7.545331e-03 |  0.9980 |       0 |     0.5896 |  4.28e-04
   1175 | -7.545231e-03 |  0.9980 |       0 |     0.5898 |  4.08e-04
   1200 | -7.545072e-03 |  0.9980 |       0 |     0.5899 |  3.89e-04
   1225 | -7.544930e-03 |  0.9980 |       0 |     0.5900 |  3.71e-04
   1250 | -7.545280e-03 |  0.9980 |       0 |     0.5901 |  3.52e-04
   1275 | -7.545595e-03 |  0.9980 |       0 |     0.5902 |  3.34e-04
   1300 | -7.545242e-03 |  0.9980 |       0 |     0.5902 |  3.16e-04
   1325 | -7.544962e-03 |  0.9980 |       0 |     0.5903 |  2.98e-04
   1350 | -7.544914e-03 |  0.9980 |       0 |     0.5904 |  2.80e-04
   1375 | -7.545067e-03 |  0.9980 |       0 |     0.5905 |  2.63e-04
   1400 | -7.545458e-03 |  0.9980 |       0 |     0.5905 |  2.46e-04
   1425 | -7.545380e-03 |  0.9980 |       0 |     0.5906 |  2.30e-04
   1450 | -7.544842e-03 |  0.9980 |       0 |     0.5907 |  2.14e-04
   1475 | -7.544814e-03 |  0.9980 |       0 |     0.5907 |  1.99e-04
   1500 | -7.545333e-03 |  0.9980 |       0 |     0.5908 |  1.84e-04
   1525 | -7.545270e-03 |  0.9980 |       0 |     0.5908 |  1.69e-04
   1550 | -7.545414e-03 |  0.9980 |       0 |     0.5909 |  1.55e-04
   1575 | -7.544956e-03 |  0.9980 |       0 |     0.5909 |  1.42e-04
   1600 | -7.545431e-03 |  0.9980 |       0 |     0.5910 |  1.29e-04
   1625 | -7.545933e-03 |  0.9980 |       0 |     0.5910 |  1.16e-04
   1650 | -7.545184e-03 |  0.9980 |       0 |     0.5910 |  1.05e-04
   1675 | -7.545159e-03 |  0.9980 |       0 |     0.5911 |  9.34e-05
   1700 | -7.545625e-03 |  0.9980 |       0 |     0.5911 |  8.29e-05
   1725 | -7.545072e-03 |  0.9980 |       0 |     0.5911 |  7.31e-05
   1750 | -7.545013e-03 |  0.9980 |       0 |     0.5911 |  6.40e-05
   1775 | -7.545451e-03 |  0.9980 |       0 |     0.5911 |  5.55e-05
   1800 | -7.545361e-03 |  0.9980 |       0 |     0.5912 |  4.77e-05
   1825 | -7.544996e-03 |  0.9980 |       0 |     0.5912 |  4.06e-05
   1850 | -7.545648e-03 |  0.9980 |       0 |     0.5912 |  3.42e-05
   1875 | -7.545269e-03 |  0.9980 |       0 |     0.5912 |  2.86e-05
   1900 | -7.545083e-03 |  0.9980 |       0 |     0.5912 |  2.37e-05
   1925 | -7.544728e-03 |  0.9980 |       0 |     0.5912 |  1.95e-05
   1950 | -7.544672e-03 |  0.9980 |       0 |     0.5912 |  1.61e-05
   1975 | -7.545341e-03 |  0.9980 |       0 |     0.5912 |  1.34e-05
   2000 | -7.545151e-03 |  0.9980 |       0 |     0.5912 |  1.15e-05

  ======================================================================
  ✅ BONE (barrier_coef=100.0) COMPLETE
  Best loss: -7.546084e-03 (epoch 1052)
  Tip: 0.5891 mm (expected: 0.6990 mm)  Err: 15.71%
  n_inverted: final=0, max_during_training=0
  Training time: 79.7s (1.3min)
  ======================================================================

