╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=0.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.310938e-03 |  1.0000 |       0 |    -0.0071 |  2.00e-05
      2 | -4.313012e-03 |  0.9999 |       0 |    -0.0049 |  4.00e-05
      3 | -4.315947e-03 |  0.9994 |       0 |    -0.0003 |  6.00e-05
      4 | -4.318377e-03 |  0.9990 |       0 |     0.0065 |  8.00e-05
      5 | -4.320603e-03 |  0.9990 |       0 |     0.0155 |  1.00e-04
     25 | -4.390207e-03 |  0.9957 |       0 |     0.4018 |  5.00e-04
     50 | -4.576565e-03 |  0.9864 |       0 |     2.0270 |  1.00e-03
     75 | -4.704957e-03 |  0.9806 |       0 |     3.2636 |  1.00e-03
    100 | -4.779753e-03 |  0.9817 |       0 |     4.1812 |  9.99e-04
    125 | -4.801894e-03 |  0.9810 |       0 |     4.4850 |  9.98e-04
    150 | -4.863265e-03 |  0.9797 |       0 |     5.5398 |  9.97e-04
    175 | -4.898862e-03 |  0.9766 |       0 |     6.2621 |  9.96e-04
    200 | -4.897085e-03 |  0.9777 |       0 |     6.0803 |  9.94e-04
    225 | -4.911772e-03 |  0.9776 |       0 |     6.5886 |  9.92e-04
    250 | -4.842432e-03 |  0.9785 |       0 |     6.5831 |  9.89e-04
    275 | -4.916636e-03 |  0.9779 |       0 |     6.7075 |  9.86e-04
    300 | -4.921994e-03 |  0.9779 |       0 |     6.5786 |  9.83e-04
    325 | -4.919425e-03 |  0.9778 |       0 |     6.7534 |  9.80e-04
    350 | -4.906290e-03 |  0.9791 |       0 |     6.3643 |  9.76e-04
    375 | -4.924107e-03 |  0.9774 |       0 |     6.8200 |  9.72e-04
    400 | -4.900088e-03 |  0.9768 |       0 |     6.8343 |  9.67e-04
    425 | -4.921777e-03 |  0.9780 |       0 |     6.7866 |  9.62e-04
    450 | -4.926717e-03 |  0.9774 |       0 |     6.8720 |  9.57e-04
    475 | -4.893801e-03 |  0.9790 |       0 |     6.5911 |  9.52e-04
    500 | -4.923427e-03 |  0.9775 |       0 |     6.8414 |  9.46e-04
    525 | -4.922466e-03 |  0.9777 |       0 |     6.8197 |  9.40e-04
    550 | -4.927771e-03 |  0.9774 |       0 |     6.8850 |  9.34e-04
    575 | -4.916419e-03 |  0.9773 |       0 |     6.6590 |  9.27e-04
    600 | -4.926927e-03 |  0.9773 |       0 |     6.8718 |  9.20e-04
    625 | -4.925197e-03 |  0.9773 |       0 |     6.8361 |  9.13e-04
    650 | -4.928295e-03 |  0.9776 |       0 |     6.7962 |  9.05e-04
    675 | -4.915326e-03 |  0.9773 |       0 |     6.8732 |  8.98e-04
    700 | -4.928715e-03 |  0.9774 |       0 |     6.9003 |  8.90e-04
    725 | -4.917117e-03 |  0.9771 |       0 |     6.6579 |  8.81e-04
    750 | -4.928569e-03 |  0.9776 |       0 |     6.8845 |  8.73e-04
    775 | -4.929780e-03 |  0.9775 |       0 |     6.9026 |  8.64e-04
    800 | -4.920855e-03 |  0.9771 |       0 |     6.9048 |  8.55e-04
    825 | -4.928255e-03 |  0.9771 |       0 |     6.9091 |  8.46e-04
    850 | -4.929932e-03 |  0.9776 |       0 |     6.8672 |  8.36e-04
    875 | -4.928515e-03 |  0.9777 |       0 |     6.9110 |  8.26e-04
    900 | -4.928443e-03 |  0.9777 |       0 |     6.9010 |  8.17e-04
    925 | -4.925482e-03 |  0.9774 |       0 |     6.8868 |  8.06e-04
    950 | -4.928695e-03 |  0.9774 |       0 |     6.9119 |  7.96e-04
    975 | -4.925862e-03 |  0.9781 |       0 |     6.8559 |  7.85e-04
   1000 | -4.929888e-03 |  0.9773 |       0 |     6.9147 |  7.75e-04
   1025 | -4.930440e-03 |  0.9774 |       0 |     6.9233 |  7.64e-04
   1050 | -4.922892e-03 |  0.9780 |       0 |     6.8889 |  7.52e-04
   1075 | -4.930467e-03 |  0.9774 |       0 |     6.9170 |  7.41e-04
   1100 | -4.929231e-03 |  0.9777 |       0 |     6.9078 |  7.30e-04
   1125 | -4.930414e-03 |  0.9775 |       0 |     6.9165 |  7.18e-04
   1150 | -4.921036e-03 |  0.9769 |       0 |     6.8793 |  7.06e-04
   1175 | -4.929259e-03 |  0.9776 |       0 |     6.9229 |  6.94e-04
   1200 | -4.930656e-03 |  0.9774 |       0 |     6.9291 |  6.82e-04
   1225 | -4.930773e-03 |  0.9774 |       0 |     6.9304 |  6.70e-04
   1250 | -4.930065e-03 |  0.9772 |       0 |     6.9280 |  6.58e-04
   1275 | -4.930599e-03 |  0.9773 |       0 |     6.9200 |  6.46e-04
   1300 | -4.930522e-03 |  0.9774 |       0 |     6.9270 |  6.33e-04
