╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BONE (MGN-baseline) | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.452093e-03 | 4.329425e-06 | -7.456422e-03 |  0.9996 |     0.0021 |  2.00e-05
      2 | -7.452631e-03 | 3.906991e-06 | -7.456538e-03 |  0.9997 |     0.0021 |  4.00e-05
      3 | -7.454450e-03 | 2.318693e-06 | -7.456768e-03 |  0.9998 |     0.0022 |  6.00e-05
      4 | -7.455211e-03 | 1.903701e-06 | -7.457115e-03 |  0.9999 |     0.0024 |  8.00e-05
      5 | -7.454510e-03 | 3.046136e-06 | -7.457556e-03 |  0.9999 |     0.0028 |  1.00e-04
     25 | -7.456040e-03 | 4.711067e-06 | -7.460752e-03 |  0.9999 |     0.0103 |  5.00e-04
     50 | -7.471116e-03 | 1.102666e-05 | -7.482143e-03 |  0.9992 |     0.0612 |  1.00e-03
     75 | -7.489247e-03 | 2.030457e-05 | -7.509552e-03 |  0.9987 |     0.1473 |  1.00e-03
    100 | -7.504192e-03 | 3.494917e-05 | -7.539141e-03 |  0.9982 |     0.2362 |  9.98e-04
    125 | -7.519293e-03 | 3.904345e-05 | -7.558336e-03 |  0.9984 |     0.3071 |  9.97e-04
    150 | -7.527918e-03 | 5.855582e-05 | -7.586474e-03 |  0.9982 |     0.4088 |  9.94e-04
    175 | -7.532152e-03 | 6.153826e-05 | -7.593690e-03 |  0.9982 |     0.4380 |  9.90e-04
    200 | -7.518695e-03 | 9.219247e-05 | -7.610887e-03 |  0.9981 |     0.4989 |  9.86e-04
    225 | -7.538623e-03 | 7.280989e-05 | -7.611433e-03 |  0.9982 |     0.5029 |  9.81e-04
    250 | -7.541931e-03 | 7.965611e-05 | -7.621587e-03 |  0.9981 |     0.5398 |  9.76e-04
    275 | -7.539980e-03 | 7.453513e-05 | -7.614515e-03 |  0.9982 |     0.5169 |  9.69e-04
    300 | -7.542374e-03 | 8.285978e-05 | -7.625233e-03 |  0.9981 |     0.5548 |  9.62e-04
    325 | -7.542592e-03 | 8.654608e-05 | -7.629138e-03 |  0.9981 |     0.5674 |  9.55e-04
    350 | -7.541912e-03 | 8.606016e-05 | -7.627972e-03 |  0.9980 |     0.5630 |  9.46e-04
    375 | -7.542737e-03 | 8.781638e-05 | -7.630553e-03 |  0.9980 |     0.5727 |  9.37e-04
    400 | -7.539534e-03 | 8.355319e-05 | -7.623088e-03 |  0.9980 |     0.5471 |  9.27e-04
    425 | -7.544551e-03 | 8.577696e-05 | -7.630328e-03 |  0.9981 |     0.5731 |  9.17e-04
    450 | -7.543072e-03 | 8.870968e-05 | -7.631782e-03 |  0.9980 |     0.5776 |  9.05e-04
    475 | -7.542389e-03 | 8.841378e-05 | -7.630803e-03 |  0.9980 |     0.5733 |  8.94e-04
    500 | -7.543848e-03 | 8.809074e-05 | -7.631939e-03 |  0.9980 |     0.5778 |  8.81e-04
    525 | -7.544619e-03 | 8.143209e-05 | -7.626052e-03 |  0.9981 |     0.5566 |  8.68e-04
    550 | -7.544825e-03 | 8.773624e-05 | -7.632561e-03 |  0.9981 |     0.5803 |  8.55e-04
    575 | -7.543847e-03 | 8.905941e-05 | -7.632907e-03 |  0.9980 |     0.5817 |  8.41e-04
    600 | -7.544372e-03 | 8.551076e-05 | -7.629883e-03 |  0.9980 |     0.5700 |  8.26e-04
    625 | -7.543300e-03 | 9.014871e-05 | -7.633449e-03 |  0.9980 |     0.5831 |  8.11e-04
    650 | -7.543320e-03 | 8.840040e-05 | -7.631720e-03 |  0.9980 |     0.5775 |  7.96e-04
    675 | -7.544739e-03 | 8.807612e-05 | -7.632815e-03 |  0.9980 |     0.5812 |  7.80e-04
    700 | -7.543245e-03 | 8.976296e-05 | -7.633008e-03 |  0.9980 |     0.5807 |  7.64e-04
    725 | -7.545324e-03 | 8.778881e-05 | -7.633112e-03 |  0.9980 |     0.5822 |  7.47e-04
    750 | -7.544719e-03 | 8.648077e-05 | -7.631199e-03 |  0.9980 |     0.5759 |  7.30e-04
    775 | -7.544118e-03 | 8.935027e-05 | -7.633468e-03 |  0.9980 |     0.5837 |  7.12e-04
    800 | -7.543724e-03 | 8.848614e-05 | -7.632210e-03 |  0.9981 |     0.5793 |  6.94e-04
    825 | -7.544231e-03 | 8.896687e-05 | -7.633198e-03 |  0.9980 |     0.5828 |  6.76e-04
    850 | -7.544991e-03 | 8.927659e-05 | -7.634267e-03 |  0.9980 |     0.5863 |  6.58e-04
