╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BRAIN (MGN-baseline) | E=1000 Pa (1.0 kPa) | ν=0.49
  Beam: 3cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 3000
  Expected tip δ: 30.9898 mm | Scale: 1.00e-02
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.224863e-03 | 2.102094e-06 | -1.226965e-03 |  0.9563 |     0.0247 |  2.00e-05
      2 | -1.226388e-03 | 9.741443e-07 | -1.227362e-03 |  0.9593 |     0.0278 |  4.00e-05
      3 | -1.229400e-03 | -1.231963e-06 | -1.228168e-03 |  0.9653 |     0.0342 |  6.00e-05
      4 | -1.233829e-03 | -4.419727e-06 | -1.229409e-03 |  0.9742 |     0.0440 |  8.00e-05
      5 | -1.239585e-03 | -8.449285e-06 | -1.231136e-03 |  0.9854 |     0.0574 |  1.00e-04
     25 | -1.420910e-03 | 1.698990e-05 | -1.437900e-03 |  0.8372 |     1.8956 |  5.00e-04
     50 | -1.800761e-03 | 6.623017e-04 | -2.463062e-03 |  0.6497 |    14.0974 |  1.00e-03
     75 | -1.792345e-03 | 4.157543e-04 | -2.208100e-03 |  0.8525 |    10.6360 |  9.64e-04
    100 | -1.908538e-03 | 5.400786e-04 | -2.448617e-03 |  0.6940 |    14.8817 |  8.61e-04
    125 | -2.188452e-03 | 5.149389e-04 | -2.703391e-03 |  0.1610 |    17.9726 |  7.07e-04
    150 | -2.402669e-03 | 5.971256e-04 | -2.999794e-03 |  0.1808 |    22.7018 |  5.25e-04
    175 | -2.559723e-03 | 6.708474e-04 | -3.230570e-03 |  0.1347 |    26.8903 |  3.43e-04
    200 | -2.654187e-03 | 7.106964e-04 | -3.364883e-03 |  0.1095 |    29.2051 |  1.89e-04
    225 | -2.698490e-03 | 7.340389e-04 | -3.432529e-03 |  0.1149 |    30.3120 |  8.62e-05
    250 | -2.718117e-03 | 7.434796e-04 | -3.461596e-03 |  0.1156 |    30.7900 |  1.00e-03
    275 | -1.190685e-03 | 4.261194e-04 | -1.616804e-03 |  0.6440 |     3.9205 |  9.91e-04
    300 | -1.328728e-03 | 6.513043e-05 | -1.393859e-03 |  0.8854 |     1.5816 |  9.64e-04
    325 | -1.339258e-03 | 6.369557e-05 | -1.402954e-03 |  0.9114 |     1.6343 |  9.20e-04
    350 | -1.351102e-03 | 6.925338e-05 | -1.420356e-03 |  0.9079 |     1.8078 |  8.61e-04
    375 | -1.380183e-03 | 6.662791e-05 | -1.446811e-03 |  0.8957 |     2.1200 |  7.89e-04
    400 | -1.453720e-03 | 8.901583e-05 | -1.542735e-03 |  0.7587 |     3.2759 |  7.07e-04
    425 | -1.537628e-03 | 1.531224e-04 | -1.690751e-03 |  0.8029 |     4.9793 |  6.18e-04
    450 | -1.637481e-03 | 2.290445e-04 | -1.866526e-03 |  0.6532 |     6.9908 |  5.25e-04
    475 | -1.720948e-03 | 3.171350e-04 | -2.038084e-03 |  0.5271 |     9.0218 |  4.32e-04
    500 | -1.761726e-03 | 3.935167e-04 | -2.155243e-03 |  0.4567 |    10.5682 |  3.43e-04
    525 | -1.780696e-03 | 4.365401e-04 | -2.217236e-03 |  0.4339 |    11.4433 |  2.61e-04
    550 | -1.790618e-03 | 4.578928e-04 | -2.248511e-03 |  0.4380 |    11.8960 |  1.89e-04
    575 | -1.796388e-03 | 4.690409e-04 | -2.265429e-03 |  0.4486 |    12.1410 |  1.30e-04
    600 | -1.799876e-03 | 4.752505e-04 | -2.275126e-03 |  0.4578 |    12.2822 |  8.62e-05
