╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: CARTILAGE (MGN-baseline) | E=500000 Pa (500.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.288946e-03 | 3.462823e-05 | -4.323574e-03 |  0.9935 |     0.0188 |  2.00e-05
      2 | -4.296742e-03 | 2.758336e-05 | -4.324326e-03 |  0.9941 |     0.0196 |  4.00e-05
      3 | -4.306786e-03 | 1.906999e-05 | -4.325856e-03 |  0.9952 |     0.0213 |  6.00e-05
      4 | -4.314514e-03 | 1.354210e-05 | -4.328056e-03 |  0.9966 |     0.0246 |  8.00e-05
      5 | -4.318450e-03 | 1.193153e-05 | -4.330381e-03 |  0.9983 |     0.0294 |  1.00e-04
     25 | -4.363729e-03 | 1.833129e-05 | -4.382060e-03 |  0.9967 |     0.2440 |  5.00e-04
     50 | -4.436132e-03 | 9.840155e-05 | -4.534533e-03 |  0.9894 |     0.9654 |  1.00e-03
     75 | -4.475197e-03 | 2.332198e-04 | -4.708417e-03 |  0.9840 |     1.7692 |  1.00e-03
    100 | -4.645659e-03 | 2.012594e-04 | -4.846918e-03 |  0.9844 |     2.5286 |  9.99e-04
    125 | -4.533485e-03 | 1.084259e-04 | -4.641911e-03 |  0.9933 |     1.4542 |  9.98e-04
    150 | -4.698494e-03 | 2.039878e-04 | -4.902482e-03 |  0.9838 |     2.8525 |  9.97e-04
    175 | -4.437244e-03 | 3.447141e-04 | -4.781958e-03 |  0.9854 |     2.4026 |  9.96e-04
    200 | -4.666811e-03 | 1.589236e-04 | -4.825735e-03 |  0.9844 |     2.4802 |  9.94e-04
    225 | -4.810516e-03 | 3.097551e-04 | -5.120271e-03 |  0.9814 |     4.2402 |  9.92e-04
    250 | -4.863776e-03 | 4.358361e-04 | -5.299612e-03 |  0.9792 |     5.3758 |  9.89e-04
    275 | -4.860792e-03 | 3.426551e-04 | -5.203447e-03 |  0.9812 |     4.8059 |  9.86e-04
    300 | -4.903736e-03 | 5.108808e-04 | -5.414616e-03 |  0.9783 |     6.1309 |  9.83e-04
    325 | -4.874360e-03 | 4.749800e-04 | -5.349340e-03 |  0.9820 |     5.7969 |  9.80e-04
    350 | -4.821060e-03 | 6.221413e-04 | -5.443201e-03 |  0.9801 |     6.4336 |  9.76e-04
    375 | -4.917305e-03 | 5.568344e-04 | -5.474140e-03 |  0.9788 |     6.5368 |  9.72e-04
