╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.230835e-03 | 5.345120e-06 | -1.236180e-03 |  0.9985 |     0.0021 |  2.00e-05
      2 | -1.235155e-03 | 1.081092e-06 | -1.236236e-03 |  0.9986 |     0.0025 |  4.00e-05
      3 | -1.243795e-03 | -7.443269e-06 | -1.236352e-03 |  0.9987 |     0.0034 |  6.00e-05
      4 | -1.256782e-03 | -2.026693e-05 | -1.236515e-03 |  0.9986 |     0.0046 |  8.00e-05
      5 | -1.274242e-03 | -3.752961e-05 | -1.236713e-03 |  0.9984 |     0.0060 |  1.00e-04
     25 | -3.321403e-03 | -2.072512e-03 | -1.248891e-03 |  0.9644 |     0.0806 |  5.00e-04
     50 | -3.574997e-03 | -2.230977e-03 | -1.344020e-03 |  0.8059 |     1.2953 |  1.00e-03
     75 | -3.659020e-03 | -2.235448e-03 | -1.423573e-03 |  0.7240 |     2.6734 |  9.64e-04
    100 | -3.683408e-03 | -2.212382e-03 | -1.471026e-03 |  0.7366 |     3.6860 |  8.61e-04
    125 | -3.728346e-03 | -2.195483e-03 | -1.532863e-03 |  0.6997 |     4.7447 |  7.07e-04
    150 | -3.751032e-03 | -2.162083e-03 | -1.588949e-03 |  0.6416 |     5.7402 |  5.25e-04
    175 | -3.768523e-03 | -2.158156e-03 | -1.610367e-03 |  0.6307 |     6.3149 |  3.43e-04
    200 | -3.779198e-03 | -2.147110e-03 | -1.632087e-03 |  0.6181 |     6.7445 |  1.89e-04
    225 | -3.784462e-03 | -2.141497e-03 | -1.642965e-03 |  0.6130 |     6.9662 |  8.62e-05
    250 | -3.786997e-03 | -2.139398e-03 | -1.647599e-03 |  0.6110 |     7.0697 |  1.00e-03
    275 | -3.171784e-03 | -1.886540e-03 | -1.285244e-03 |  1.0036 |     0.8831 |  9.91e-04
    300 | -3.315893e-03 | -1.948772e-03 | -1.367121e-03 |  1.0170 |     1.9600 |  9.64e-04
    325 | -3.345576e-03 | -1.970022e-03 | -1.375553e-03 |  0.9967 |     1.9937 |  9.20e-04
