╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: MYOCARDIUM (MGN-baseline) | E=30000 Pa (30.0 kPa) | ν=0.4
  Beam: 3cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 1.0529 mm | Scale: 1.05e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.247864e-03 | 1.416141e-08 | -1.247879e-03 |  0.9996 |     0.0007 |  2.00e-05
      2 | -1.247919e-03 | 1.029309e-08 | -1.247929e-03 |  0.9997 |     0.0011 |  4.00e-05
      3 | -1.248021e-03 | 9.948016e-09 | -1.248031e-03 |  0.9997 |     0.0018 |  6.00e-05
      4 | -1.248165e-03 | 1.761516e-08 | -1.248183e-03 |  0.9994 |     0.0029 |  8.00e-05
      5 | -1.248356e-03 | 2.991351e-08 | -1.248386e-03 |  0.9994 |     0.0043 |  1.00e-04
     25 | -1.253830e-03 | 3.321989e-06 | -1.257152e-03 |  0.9975 |     0.0954 |  5.00e-04
     50 | -1.270704e-03 | 2.503585e-05 | -1.295740e-03 |  0.9686 |     0.6115 |  1.00e-03
     75 | -1.279626e-03 | 2.857484e-05 | -1.308201e-03 |  0.9709 |     0.8879 |  1.00e-03
    100 | -1.283555e-03 | 3.025185e-05 | -1.313807e-03 |  0.9745 |     1.0470 |  9.99e-04
    125 | -1.284630e-03 | 3.649552e-05 | -1.321125e-03 |  0.9687 |     1.1408 |  9.98e-04
    150 | -1.285297e-03 | 3.496141e-05 | -1.320258e-03 |  0.9715 |     1.1514 |  9.97e-04
    175 | -1.285495e-03 | 3.493818e-05 | -1.320433e-03 |  0.9724 |     1.1617 |  9.96e-04
    200 | -1.285382e-03 | 3.760861e-05 | -1.322991e-03 |  0.9673 |     1.1863 |  9.94e-04
    225 | -1.285695e-03 | 3.443189e-05 | -1.320127e-03 |  0.9733 |     1.1704 |  9.92e-04
    250 | -1.285805e-03 | 3.448785e-05 | -1.320293e-03 |  0.9718 |     1.1723 |  9.89e-04
    275 | -1.285972e-03 | 3.559499e-05 | -1.321567e-03 |  0.9705 |     1.1878 |  9.86e-04
    300 | -1.285719e-03 | 3.540080e-05 | -1.321120e-03 |  0.9713 |     1.1822 |  9.83e-04
    325 | -1.285880e-03 | 3.607557e-05 | -1.321955e-03 |  0.9692 |     1.1818 |  9.80e-04
    350 | -1.286110e-03 | 3.618324e-05 | -1.322293e-03 |  0.9678 |     1.1933 |  9.76e-04
    375 | -1.286243e-03 | 3.620441e-05 | -1.322448e-03 |  0.9675 |     1.2004 |  9.72e-04
    400 | -1.286347e-03 | 3.634463e-05 | -1.322691e-03 |  0.9669 |     1.2068 |  9.67e-04
    425 | -1.283003e-03 | 2.984233e-05 | -1.312846e-03 |  0.9827 |     1.1144 |  9.62e-04
    450 | -1.286017e-03 | 3.419948e-05 | -1.320216e-03 |  0.9708 |     1.1797 |  9.57e-04
    475 | -1.286406e-03 | 3.670684e-05 | -1.323113e-03 |  0.9651 |     1.2119 |  9.52e-04
    500 | -1.286536e-03 | 3.673692e-05 | -1.323273e-03 |  0.9652 |     1.2210 |  9.46e-04
    525 | -1.286618e-03 | 3.685179e-05 | -1.323470e-03 |  0.9651 |     1.2264 |  9.40e-04
    550 | -1.283632e-03 | 4.234799e-05 | -1.325980e-03 |  0.9541 |     1.2185 |  9.34e-04
    575 | -1.286486e-03 | 3.666869e-05 | -1.323155e-03 |  0.9645 |     1.2137 |  9.27e-04
    600 | -1.286681e-03 | 3.689022e-05 | -1.323572e-03 |  0.9648 |     1.2293 |  9.20e-04
    625 | -1.286753e-03 | 3.704080e-05 | -1.323794e-03 |  0.9646 |     1.2348 |  9.13e-04
    650 | -1.282810e-03 | 3.216638e-05 | -1.314977e-03 |  0.9812 |     1.1620 |  9.05e-04
    675 | -1.286392e-03 | 3.680497e-05 | -1.323197e-03 |  0.9635 |     1.2081 |  8.98e-04
    700 | -1.286725e-03 | 3.728083e-05 | -1.324005e-03 |  0.9632 |     1.2336 |  8.90e-04
    725 | -1.286829e-03 | 3.703430e-05 | -1.323863e-03 |  0.9647 |     1.2374 |  8.81e-04
    750 | -1.286615e-03 | 3.473367e-05 | -1.321349e-03 |  0.9680 |     1.1844 |  8.73e-04
    775 | -1.286804e-03 | 3.659953e-05 | -1.323404e-03 |  0.9659 |     1.2308 |  8.64e-04
    800 | -1.286271e-03 | 3.597816e-05 | -1.322249e-03 |  0.9626 |     1.2030 |  8.55e-04
    825 | -1.286646e-03 | 3.542197e-05 | -1.322068e-03 |  0.9690 |     1.2185 |  8.46e-04
    850 | -1.286839e-03 | 3.632252e-05 | -1.323161e-03 |  0.9667 |     1.2344 |  8.36e-04
    875 | -1.286691e-03 | 3.598455e-05 | -1.322675e-03 |  0.9672 |     1.2145 |  8.26e-04
    900 | -1.286892e-03 | 3.722239e-05 | -1.324114e-03 |  0.9634 |     1.2359 |  8.17e-04
    925 | -1.284341e-03 | 3.428915e-05 | -1.318630e-03 |  0.9742 |     1.1610 |  8.06e-04
    950 | -1.286605e-03 | 3.590916e-05 | -1.322514e-03 |  0.9672 |     1.2146 |  7.96e-04
    975 | -1.286909e-03 | 3.656176e-05 | -1.323471e-03 |  0.9657 |     1.2345 |  7.85e-04
   1000 | -1.286906e-03 | 3.696758e-05 | -1.323874e-03 |  0.9666 |     1.2439 |  7.75e-04
   1025 | -1.286324e-03 | 3.840151e-05 | -1.324726e-03 |  0.9584 |     1.2267 |  7.64e-04
   1050 | -1.286948e-03 | 3.706306e-05 | -1.324011e-03 |  0.9644 |     1.2371 |  7.52e-04
   1075 | -1.286985e-03 | 3.726153e-05 | -1.324247e-03 |  0.9652 |     1.2464 |  7.41e-04
   1100 | -1.286619e-03 | 3.754133e-05 | -1.324161e-03 |  0.9607 |     1.2245 |  7.30e-04
   1125 | -1.286989e-03 | 3.724628e-05 | -1.324235e-03 |  0.9641 |     1.2416 |  7.18e-04
   1150 | -1.287037e-03 | 3.727158e-05 | -1.324309e-03 |  0.9653 |     1.2488 |  7.06e-04
   1175 | -1.286150e-03 | 3.424226e-05 | -1.320392e-03 |  0.9681 |     1.1859 |  6.94e-04
   1200 | -1.286951e-03 | 3.749484e-05 | -1.324446e-03 |  0.9643 |     1.2457 |  6.82e-04
   1225 | -1.287051e-03 | 3.753855e-05 | -1.324590e-03 |  0.9645 |     1.2521 |  6.70e-04
   1250 | -1.287042e-03 | 3.733642e-05 | -1.324378e-03 |  0.9665 |     1.2539 |  6.58e-04
   1275 | -1.286726e-03 | 3.608157e-05 | -1.322807e-03 |  0.9702 |     1.2314 |  6.46e-04
   1300 | -1.287020e-03 | 3.748153e-05 | -1.324501e-03 |  0.9639 |     1.2480 |  6.33e-04
   1325 | -1.287099e-03 | 3.765743e-05 | -1.324757e-03 |  0.9645 |     1.2554 |  6.21e-04
   1350 | -1.287047e-03 | 3.764330e-05 | -1.324690e-03 |  0.9665 |     1.2582 |  6.08e-04
   1375 | -1.287044e-03 | 3.778892e-05 | -1.324833e-03 |  0.9633 |     1.2467 |  5.95e-04
   1400 | -1.287117e-03 | 3.792114e-05 | -1.325038e-03 |  0.9650 |     1.2586 |  5.82e-04
   1425 | -1.287138e-03 | 3.792740e-05 | -1.325066e-03 |  0.9641 |     1.2605 |  5.70e-04
   1450 | -1.286893e-03 | 3.663597e-05 | -1.323529e-03 |  0.9708 |     1.2437 |  5.57e-04
   1475 | -1.287133e-03 | 3.746432e-05 | -1.324597e-03 |  0.9661 |     1.2586 |  5.44e-04
   1500 | -1.287192e-03 | 3.776340e-05 | -1.324955e-03 |  0.9654 |     1.2631 |  5.31e-04
   1525 | -1.287216e-03 | 3.793706e-05 | -1.325153e-03 |  0.9651 |     1.2649 |  5.18e-04
   1550 | -1.286815e-03 | 3.591597e-05 | -1.322731e-03 |  0.9702 |     1.2300 |  5.05e-04
   1575 | -1.287151e-03 | 3.761410e-05 | -1.324765e-03 |  0.9659 |     1.2620 |  4.92e-04
   1600 | -1.287246e-03 | 3.796239e-05 | -1.325208e-03 |  0.9650 |     1.2659 |  4.79e-04
   1625 | -1.287264e-03 | 3.806248e-05 | -1.325326e-03 |  0.9651 |     1.2687 |  4.66e-04
   1650 | -1.287277e-03 | 3.808761e-05 | -1.325365e-03 |  0.9653 |     1.2702 |  4.53e-04
   1675 | -1.286821e-03 | 3.824706e-05 | -1.325069e-03 |  0.9602 |     1.2461 |  4.40e-04
   1700 | -1.287266e-03 | 3.805552e-05 | -1.325322e-03 |  0.9646 |     1.2672 |  4.28e-04
   1725 | -1.287305e-03 | 3.808135e-05 | -1.325386e-03 |  0.9651 |     1.2706 |  4.15e-04
   1750 | -1.287321e-03 | 3.823765e-05 | -1.325559e-03 |  0.9650 |     1.2728 |  4.02e-04
   1775 | -1.287334e-03 | 3.825874e-05 | -1.325593e-03 |  0.9649 |     1.2738 |  3.89e-04
   1800 | -1.287347e-03 | 3.829268e-05 | -1.325640e-03 |  0.9649 |     1.2748 |  3.77e-04
   1825 | -1.287359e-03 | 3.831810e-05 | -1.325677e-03 |  0.9649 |     1.2756 |  3.64e-04
   1850 | -1.286617e-03 | 3.803278e-05 | -1.324650e-03 |  0.9712 |     1.2714 |  3.52e-04
   1875 | -1.287362e-03 | 3.779928e-05 | -1.325161e-03 |  0.9662 |     1.2686 |  3.40e-04
   1900 | -1.287384e-03 | 3.836205e-05 | -1.325746e-03 |  0.9646 |     1.2766 |  3.28e-04
   1925 | -1.287396e-03 | 3.838144e-05 | -1.325777e-03 |  0.9649 |     1.2778 |  3.16e-04
   1950 | -1.287406e-03 | 3.840931e-05 | -1.325815e-03 |  0.9649 |     1.2785 |  3.04e-04
   1975 | -1.287415e-03 | 3.842644e-05 | -1.325841e-03 |  0.9649 |     1.2791 |  2.92e-04
   2000 | -1.287423e-03 | 3.844482e-05 | -1.325868e-03 |  0.9650 |     1.2797 |  2.80e-04
   2025 | -1.287432e-03 | 3.846086e-05 | -1.325892e-03 |  0.9650 |     1.2802 |  2.69e-04
   2050 | -1.287440e-03 | 3.847555e-05 | -1.325915e-03 |  0.9650 |     1.2807 |  2.57e-04
   2075 | -1.287447e-03 | 3.848958e-05 | -1.325936e-03 |  0.9650 |     1.2812 |  2.46e-04
   2100 | -1.287453e-03 | 3.850295e-05 | -1.325956e-03 |  0.9650 |     1.2816 |  2.35e-04
   2125 | -1.287461e-03 | 3.851455e-05 | -1.325975e-03 |  0.9650 |     1.2820 |  2.25e-04
   2150 | -1.287466e-03 | 3.852665e-05 | -1.325993e-03 |  0.9650 |     1.2824 |  2.14e-04
   2175 | -1.287472e-03 | 3.853727e-05 | -1.326010e-03 |  0.9650 |     1.2827 |  2.04e-04
   2200 | -1.287478e-03 | 3.854726e-05 | -1.326025e-03 |  0.9650 |     1.2830 |  1.93e-04
   2225 | -1.287483e-03 | 3.855721e-05 | -1.326040e-03 |  0.9650 |     1.2833 |  1.84e-04
   2250 | -1.287488e-03 | 3.856547e-05 | -1.326054e-03 |  0.9650 |     1.2836 |  1.74e-04
   2275 | -1.287493e-03 | 3.857416e-05 | -1.326067e-03 |  0.9650 |     1.2839 |  1.64e-04
   2300 | -1.287496e-03 | 3.858309e-05 | -1.326079e-03 |  0.9650 |     1.2842 |  1.55e-04
   2325 | -1.287501e-03 | 3.858974e-05 | -1.326091e-03 |  0.9650 |     1.2844 |  1.46e-04
   2350 | -1.287506e-03 | 3.859591e-05 | -1.326101e-03 |  0.9650 |     1.2846 |  1.37e-04
   2375 | -1.287509e-03 | 3.860248e-05 | -1.326112e-03 |  0.9650 |     1.2848 |  1.29e-04
   2400 | -1.287513e-03 | 3.860829e-05 | -1.326121e-03 |  0.9650 |     1.2850 |  1.20e-04
   2425 | -1.287515e-03 | 3.861468e-05 | -1.326130e-03 |  0.9650 |     1.2852 |  1.12e-04
   2450 | -1.287519e-03 | 3.861907e-05 | -1.326138e-03 |  0.9650 |     1.2854 |  1.05e-04
   2475 | -1.287522e-03 | 3.862370e-05 | -1.326145e-03 |  0.9650 |     1.2856 |  9.71e-05
   2500 | -1.287524e-03 | 3.862860e-05 | -1.326153e-03 |  0.9650 |     1.2857 |  8.99e-05
