╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: VESSEL (MGN-baseline) | E=400000 Pa (400.0 kPa) | ν=0.49
  Beam: 10cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -3.180510e-03 | 9.444603e-04 | -4.124971e-03 |  0.9896 |     0.0265 |  2.00e-05
      2 | -4.451017e-03 | -3.257007e-04 | -4.125317e-03 |  0.9911 |     0.0275 |  4.00e-05
      3 | -6.925425e-03 | -2.799453e-03 | -4.125972e-03 |  0.9934 |     0.0294 |  6.00e-05
      4 | -1.050011e-02 | -6.373260e-03 | -4.126852e-03 |  0.9963 |     0.0321 |  8.00e-05
      5 | -1.509797e-02 | -1.097009e-02 | -4.127872e-03 |  0.9958 |     0.0356 |  1.00e-04
     25 | -5.710267e-02 | -5.297541e-02 | -4.127268e-03 |  1.0080 |     0.0441 |  5.00e-04
     50 | -5.861454e-02 | -5.447358e-02 | -4.140959e-03 |  1.0029 |     0.0870 |  1.00e-03
     75 | -5.889963e-02 | -5.472781e-02 | -4.171827e-03 |  1.0020 |     0.2032 |  9.64e-04
    100 | -5.895141e-02 | -5.474171e-02 | -4.209701e-03 |  0.9940 |     0.3744 |  8.61e-04
    125 | -5.899666e-02 | -5.473882e-02 | -4.257843e-03 |  0.9894 |     0.5886 |  7.07e-04
    150 | -5.904451e-02 | -5.472774e-02 | -4.316762e-03 |  0.9835 |     0.8418 |  5.25e-04
    175 | -5.908925e-02 | -5.471556e-02 | -4.373688e-03 |  0.9772 |     1.0857 |  3.43e-04
    200 | -5.912288e-02 | -5.470592e-02 | -4.416955e-03 |  0.9722 |     1.2741 |  1.89e-04
    225 | -5.914250e-02 | -5.469995e-02 | -4.442552e-03 |  0.9695 |     1.3873 |  8.62e-05
    250 | -5.915254e-02 | -5.469688e-02 | -4.455664e-03 |  0.9682 |     1.4461 |  1.00e-03
    275 | -5.856297e-02 | -5.441901e-02 | -4.143958e-03 |  0.9880 |     0.0753 |  9.91e-04
    300 | -5.885799e-02 | -5.468781e-02 | -4.170186e-03 |  1.0036 |     0.2019 |  9.64e-04
    325 | -5.894140e-02 | -5.473678e-02 | -4.204620e-03 |  0.9910 |     0.3321 |  9.20e-04
    350 | -5.898352e-02 | -5.473822e-02 | -4.245303e-03 |  0.9886 |     0.5012 |  8.61e-04
    375 | -5.902648e-02 | -5.472860e-02 | -4.297873e-03 |  0.9827 |     0.7139 |  7.89e-04
    400 | -5.907423e-02 | -5.471307e-02 | -4.361165e-03 |  0.9749 |     0.9683 |  7.07e-04
