╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.448616e-03 | 6.440145e-06 | -7.455057e-03 |  0.9994 |    -0.0004 |   99.9% |  2.00e-05
      2 | -7.449372e-03 | 5.840152e-06 | -7.455213e-03 |  0.9994 |    -0.0003 |  100.0% |  4.00e-05
      3 | -7.451007e-03 | 4.518978e-06 | -7.455526e-03 |  0.9996 |     0.0001 |  100.0% |  6.00e-05
      4 | -7.452149e-03 | 3.842574e-06 | -7.455992e-03 |  0.9997 |     0.0007 |   99.9% |  8.00e-05
      5 | -7.454198e-03 | 2.399287e-06 | -7.456597e-03 |  0.9999 |     0.0014 |   99.8% |  1.00e-04
     25 | -7.456386e-03 | 7.296868e-06 | -7.463682e-03 |  0.9995 |     0.0196 |   97.2% |  5.00e-04
     50 | -7.472238e-03 | 2.807009e-05 | -7.500308e-03 |  0.9983 |     0.1102 |   84.2% |  1.00e-03
     75 | -7.485089e-03 | 1.859977e-05 | -7.503689e-03 |  0.9986 |     0.1432 |   79.5% |  1.00e-03
    100 | -7.501857e-03 | 3.106871e-05 | -7.532926e-03 |  0.9979 |     0.2272 |   67.5% |  9.99e-04
    125 | -7.500377e-03 | 4.359814e-05 | -7.543975e-03 |  0.9984 |     0.2818 |   59.7% |  9.98e-04
    150 | -7.529540e-03 | 5.679905e-05 | -7.586339e-03 |  0.9978 |     0.4083 |   41.6% |  9.97e-04
    175 | -7.537974e-03 | 6.409717e-05 | -7.602071e-03 |  0.9974 |     0.4615 |   34.0% |  9.96e-04
    200 | -7.537687e-03 | 7.743874e-05 | -7.615125e-03 |  0.9974 |     0.5042 |   27.9% |  9.94e-04
    225 | -7.544431e-03 | 7.579663e-05 | -7.620228e-03 |  0.9976 |     0.5289 |   24.3% |  9.92e-04
    250 | -7.536793e-03 | 9.028098e-05 | -7.627074e-03 |  0.9977 |     0.5542 |   20.7% |  9.89e-04
    275 | -7.548160e-03 | 8.531555e-05 | -7.633476e-03 |  0.9977 |     0.5764 |   17.5% |  9.86e-04
    300 | -7.544605e-03 | 8.135903e-05 | -7.625964e-03 |  0.9982 |     0.5510 |   21.2% |  9.83e-04
    325 | -7.549142e-03 | 9.101533e-05 | -7.640157e-03 |  0.9976 |     0.6012 |   14.0% |  9.80e-04
    350 | -7.551047e-03 | 9.288893e-05 | -7.643936e-03 |  0.9977 |     0.6172 |   11.7% |  9.76e-04
    375 | -7.547156e-03 | 8.665069e-05 | -7.633807e-03 |  0.9977 |     0.5768 |   17.5% |  9.72e-04
    400 | -7.552115e-03 | 9.179587e-05 | -7.643911e-03 |  0.9978 |     0.6174 |   11.7% |  9.67e-04
    425 | -7.552455e-03 | 9.408692e-05 | -7.646542e-03 |  0.9977 |     0.6268 |   10.3% |  9.62e-04
    450 | -7.549449e-03 | 8.823945e-05 | -7.637689e-03 |  0.9978 |     0.5963 |   14.7% |  9.57e-04
    475 | -7.552333e-03 | 9.405015e-05 | -7.646383e-03 |  0.9978 |     0.6261 |   10.4% |  9.52e-04
    500 | -7.553126e-03 | 9.337986e-05 | -7.646506e-03 |  0.9978 |     0.6264 |   10.4% |  9.46e-04
    525 | -7.544525e-03 | 8.461830e-05 | -7.629143e-03 |  0.9982 |     0.5688 |   18.6% |  9.40e-04
    550 | -7.550966e-03 | 9.567011e-05 | -7.646636e-03 |  0.9977 |     0.6252 |   10.5% |  9.34e-04
    575 | -7.553326e-03 | 9.540036e-05 | -7.648727e-03 |  0.9977 |     0.6337 |    9.3% |  9.27e-04
    600 | -7.553450e-03 | 9.598352e-05 | -7.649433e-03 |  0.9977 |     0.6367 |    8.9% |  9.20e-04
    625 | -7.550882e-03 | 9.287885e-05 | -7.643761e-03 |  0.9979 |     0.6153 |   12.0% |  9.13e-04
    650 | -7.552876e-03 | 9.603996e-05 | -7.648916e-03 |  0.9977 |     0.6341 |    9.3% |  9.05e-04
    675 | -7.551709e-03 | 9.754284e-05 | -7.649252e-03 |  0.9977 |     0.6366 |    8.9% |  8.98e-04
    700 | -7.552641e-03 | 9.534798e-05 | -7.647989e-03 |  0.9978 |     0.6302 |    9.8% |  8.90e-04
    725 | -7.550910e-03 | 9.297085e-05 | -7.643880e-03 |  0.9979 |     0.6187 |   11.5% |  8.81e-04
    750 | -7.552703e-03 | 9.584893e-05 | -7.648552e-03 |  0.9978 |     0.6332 |    9.4% |  8.73e-04
    775 | -7.553773e-03 | 9.500794e-05 | -7.648781e-03 |  0.9977 |     0.6336 |    9.4% |  8.64e-04
    800 | -7.553950e-03 | 9.157044e-05 | -7.645521e-03 |  0.9978 |     0.6220 |   11.0% |  8.55e-04
    825 | -7.553495e-03 | 9.604839e-05 | -7.649543e-03 |  0.9977 |     0.6364 |    9.0% |  8.46e-04
    850 | -7.551598e-03 | 9.819038e-05 | -7.649789e-03 |  0.9976 |     0.6365 |    8.9% |  8.36e-04
    875 | -7.547461e-03 | 1.025760e-04 | -7.650037e-03 |  0.9975 |     0.6367 |    8.9% |  8.26e-04
    900 | -7.552933e-03 | 9.693799e-05 | -7.649871e-03 |  0.9977 |     0.6367 |    8.9% |  8.17e-04
    925 | -7.553520e-03 | 9.674256e-05 | -7.650263e-03 |  0.9977 |     0.6389 |    8.6% |  8.06e-04
    950 | -7.553389e-03 | 9.022011e-05 | -7.643609e-03 |  0.9978 |     0.6172 |   11.7% |  7.96e-04
    975 | -7.552566e-03 | 9.797990e-05 | -7.650546e-03 |  0.9976 |     0.6387 |    8.6% |  7.85e-04
   1000 | -7.553813e-03 | 9.730196e-05 | -7.651115e-03 |  0.9977 |     0.6415 |    8.2% |  7.75e-04
   1025 | -7.550982e-03 | 9.578623e-05 | -7.646768e-03 |  0.9979 |     0.6281 |   10.1% |  7.64e-04
   1050 | -7.553465e-03 | 9.715786e-05 | -7.650623e-03 |  0.9977 |     0.6401 |    8.4% |  7.52e-04
   1075 | -7.554512e-03 | 9.655789e-05 | -7.651070e-03 |  0.9977 |     0.6415 |    8.2% |  7.41e-04
   1100 | -7.552833e-03 | 9.508103e-05 | -7.647914e-03 |  0.9978 |     0.6310 |    9.7% |  7.30e-04
   1125 | -7.553384e-03 | 9.758045e-05 | -7.650964e-03 |  0.9976 |     0.6409 |    8.3% |  7.18e-04
   1150 | -7.552630e-03 | 9.888603e-05 | -7.651516e-03 |  0.9976 |     0.6424 |    8.1% |  7.06e-04
   1175 | -7.552470e-03 | 9.891779e-05 | -7.651387e-03 |  0.9976 |     0.6416 |    8.2% |  6.94e-04
   1200 | -7.552201e-03 | 9.955410e-05 | -7.651755e-03 |  0.9976 |     0.6431 |    8.0% |  6.82e-04
   1225 | -7.554187e-03 | 9.695294e-05 | -7.651140e-03 |  0.9977 |     0.6415 |    8.2% |  6.70e-04
   1250 | -7.554311e-03 | 9.732969e-05 | -7.651641e-03 |  0.9977 |     0.6434 |    7.9% |  6.58e-04
   1275 | -7.553980e-03 | 9.692395e-05 | -7.650904e-03 |  0.9977 |     0.6407 |    8.3% |  6.46e-04
   1300 | -7.554557e-03 | 9.695093e-05 | -7.651508e-03 |  0.9977 |     0.6430 |    8.0% |  6.33e-04
   1325 | -7.553692e-03 | 9.789142e-05 | -7.651583e-03 |  0.9977 |     0.6437 |    7.9% |  6.21e-04
   1350 | -7.553502e-03 | 9.796559e-05 | -7.651468e-03 |  0.9976 |     0.6422 |    8.1% |  6.08e-04
