╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -8.413228e-03 | -9.572197e-04 | -7.456008e-03 |  1.0000 |     0.0009 |   99.9% |  2.00e-05
      2 | -1.011243e-02 | -2.656428e-03 | -7.456003e-03 |  1.0000 |     0.0009 |   99.9% |  4.00e-05
      3 | -1.352514e-02 | -6.069147e-03 | -7.455991e-03 |  1.0000 |     0.0009 |   99.9% |  6.00e-05
      4 | -1.864049e-02 | -1.118452e-02 | -7.455970e-03 |  1.0000 |     0.0008 |   99.9% |  8.00e-05
      5 | -2.553327e-02 | -1.807733e-02 | -7.455937e-03 |  1.0001 |     0.0007 |   99.9% |  1.00e-04
     25 | -2.782536e+00 | -2.775073e+00 | -7.462828e-03 |  1.0069 |     0.0031 |   99.6% |  5.00e-04
     50 | -2.515819e+01 | -2.515070e+01 | -7.493210e-03 |  1.0349 |     0.0631 |   91.0% |  1.00e-03
     75 | -4.285519e+01 | -4.284765e+01 | -7.538616e-03 |  1.1305 |     0.2972 |   57.5% |  1.00e-03
    100 | -4.944593e+01 | -4.943838e+01 | -7.548844e-03 |  0.9328 |     0.7553 |    8.1% |  9.99e-04
    125 | -5.091500e+01 | -5.090730e+01 | -7.701026e-03 |  0.9338 |     0.9211 |   31.8% |  9.98e-04
    150 | -5.104462e+01 | -5.103719e+01 | -7.431827e-03 |  0.9711 |     0.3884 |   44.4% |  9.97e-04
