╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -9.219153e-04 | 3.400275e-03 | -4.322191e-03 |  0.9959 |     0.0098 |  2.00e-05
      2 | -1.908435e-03 | 2.413554e-03 | -4.321989e-03 |  0.9965 |     0.0093 |  4.00e-05
      3 | -3.872316e-03 | 4.492681e-04 | -4.321584e-03 |  0.9977 |     0.0084 |  6.00e-05
      4 | -6.804172e-03 | -2.483193e-03 | -4.320979e-03 |  0.9994 |     0.0070 |  8.00e-05
      5 | -1.070964e-02 | -6.389457e-03 | -4.320184e-03 |  1.0004 |     0.0051 |  1.00e-04
     25 | -3.091433e-01 | -3.047660e-01 | -4.377327e-03 |  1.0581 |     0.1040 |  5.00e-04
     50 | -3.830404e-01 | -3.787078e-01 | -4.332635e-03 |  0.9879 |    -0.0379 |  1.00e-03
     75 | -3.868766e-01 | -3.825186e-01 | -4.357981e-03 |  1.0170 |     0.1924 |  9.64e-04
    100 | -3.872313e-01 | -3.828190e-01 | -4.412287e-03 |  0.9971 |     0.4732 |  8.61e-04
    125 | -3.873754e-01 | -3.829098e-01 | -4.465594e-03 |  0.9780 |     0.7255 |  7.07e-04
    150 | -3.874631e-01 | -3.829493e-01 | -4.513829e-03 |  0.9739 |     0.9540 |  5.25e-04
    175 | -3.875185e-01 | -3.829691e-01 | -4.549419e-03 |  0.9716 |     1.1317 |  3.43e-04
    200 | -3.875530e-01 | -3.829786e-01 | -4.574377e-03 |  0.9711 |     1.2570 |  1.89e-04
    225 | -3.875706e-01 | -3.829818e-01 | -4.588806e-03 |  0.9703 |     1.3264 |  8.62e-05
    250 | -3.875786e-01 | -3.829831e-01 | -4.595499e-03 |  0.9701 |     1.3602 |  1.00e-03
    275 | -3.871644e-01 | -3.825292e-01 | -4.635178e-03 |  0.9882 |     1.6297 |  9.91e-04
    300 | -3.875745e-01 | -3.828758e-01 | -4.698698e-03 |  0.9872 |     1.9033 |  9.64e-04
    325 | -3.877123e-01 | -3.829073e-01 | -4.805006e-03 |  0.9746 |     2.4435 |  9.20e-04
    350 | -3.878206e-01 | -3.828972e-01 | -4.923409e-03 |  0.9692 |     3.0529 |  8.61e-04
    375 | -3.875731e-01 | -3.825752e-01 | -4.997889e-03 |  0.9644 |     3.4240 |  7.89e-04
    400 | -3.879298e-01 | -3.828443e-01 | -5.085485e-03 |  0.9648 |     3.8394 |  7.07e-04
    425 | -3.880304e-01 | -3.828393e-01 | -5.191172e-03 |  0.9641 |     4.3878 |  6.18e-04
    450 | -3.881021e-01 | -3.828160e-01 | -5.286137e-03 |  0.9632 |     4.8982 |  5.25e-04
    475 | -3.881631e-01 | -3.827926e-01 | -5.370502e-03 |  0.9622 |     5.3554 |  4.32e-04
    500 | -3.882134e-01 | -3.827698e-01 | -5.443675e-03 |  0.9610 |     5.7528 |  3.43e-04
    525 | -3.882535e-01 | -3.827497e-01 | -5.503825e-03 |  0.9600 |     6.0813 |  2.61e-04
    550 | -3.882841e-01 | -3.827335e-01 | -5.550638e-03 |  0.9593 |     6.3386 |  1.89e-04
    575 | -3.883064e-01 | -3.827214e-01 | -5.585077e-03 |  0.9588 |     6.5292 |  1.30e-04
    600 | -3.883219e-01 | -3.827128e-01 | -5.609119e-03 |  0.9584 |     6.6631 |  8.62e-05
    625 | -3.883325e-01 | -3.827069e-01 | -5.625613e-03 |  0.9581 |     6.7553 |  5.91e-05
    650 | -3.883405e-01 | -3.827024e-01 | -5.638110e-03 |  0.9580 |     6.8254 |  1.00e-03
    675 | -3.846449e-01 | -3.802717e-01 | -4.373228e-03 |  1.0162 |     0.5445 |  9.98e-04
    700 | -3.865570e-01 | -3.821009e-01 | -4.456141e-03 |  0.9659 |     0.7483 |  9.91e-04
